Drug	Target
D00195	OPRM1 [HSA:4988] [KO:K04215]
D00196	ACHE [HSA:43] [KO:K01049]
D00197	SLC18A1 (VMAT1) [HSA:6570] [KO:K08155]
	SLC18A2 (VMAT2) [HSA:6571] [KO:K08155]
D00199	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D00201	30S ribosomal subunit
D00202	Ergosterol
D00203	Ergosterol
D00204	penicillin binding protein
D00205	30S ribosomal subunit
D00206	penicillin binding protein
D00208	DNA
D00209	TUBB [KO:K07375]
D00210	DNA gyrase [KO:K02469 K02470]
D00211	DNA-directed RNA polymerase subunit beta [KO:K03043 K03046]
D00212	peptidoglycan (D-Ala-D-Ala)
D00214	RNA polymerase
D00216	GAA [HSA:2548] [KO:K12316]
	GANC [HSA:2595] [KO:K12317]
	MGAM [HSA:8972] [KO:K12047]
	AMY [HSA:279 280] [KO:K01176]
D00217	PTGS1 (COX1) [HSA:5742] [KO:K00509]
	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D00218	CA [HSA:759 760 761 762 763 11238 765 766 767 768 771 377677 23632] [KO:K01672 K18245 K18246]
D00219	ABCC8 (SUR1) [HSA:6833] [KO:K05032]
D00220	urease [KO:K01428]
D00222	Herpesvirus DNA polymerase [KO:K18964]
D00223	50S ribosomal subunit
D00224	XDH [HSA:7498] [KO:K00106]
D00225	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00227	ADORA1 [HSA:134] [KO:K04265]
	ADORA2B [HSA:136] [KO:K04267]
	PDE [HSA:10846 27115 50940 5136 5137 5138 5139 5140 5141 5142 5143 5144 5150 5151 5153 8622] [KO:K18438 K18436 K13298 K13755 K18283 K19021 K13296 K13293 K18437]
D00228	SLC6A4 (HTT) [HSA:6532] [KO:K05037]
	SLC6A2 (NAT1) [HSA:6530] [KO:K05035]
D00229	penicillin binding protein
D00231	PDE3 [HSA:5139 5140] [KO:K19021 K13296]
D00232	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D00234	HRH1 [HSA:3269] [KO:K04149]
D00235	ADRB1 [HSA:153] [KO:K04141]
D00236	Cytochrome b [KO:K00412]
D00240	penicillin binding protein
D00241	GABBR [HSA:2550 9568] [KO:K04615]
D00244	NR3C1 (GR) [HSA:2908] [KO:K05771]
D00246	NR3C1 (GR) [HSA:2908] [KO:K05771]
D00247	SLC12A1 (NKCC2) [HSA:6557] [KO:K14425]
	SLC12A2 (NKCC1) [HSA:6558] [KO:K10951]
	SLC12A4 [HSA:6560] [KO:K14427]
D00248	DNA
D00249	CALCR [HSA:799] [KO:K04576]
D00250	TRPV1 [HSA:7442] [KO:K05222]
D00251	ACE (CD143) [HSA:1636] [KO:K01283]
D00252	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D00254	DNA
D00255	ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]
	ADRB1 [HSA:153] [KO:K04141]
	ADRB2 [HSA:154] [KO:K04142]
D00256	penicillin binding protein
D00257	penicillin binding protein
D00258	penicillin binding protein
D00259	penicillin binding protein
D00260	penicillin binding protein
D00261	penicillin binding protein
D00262	penicillin binding protein
D00263	penicillin binding protein
D00264	penicillin binding protein
D00266	DNA
D00267	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00269	NR3A (ESR) [HSA:2099 2100] [KO:K08550 K08551]
D00270	HTR2 [HSA:3356 3357 3358] [KO:K04157]
	HRH1 [HSA:3269] [KO:K04149]
	ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]
	DRD2 [HSA:1813] [KO:K04145]
	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D00271	ABCC8(SUR1)/KCNJ11(KIR6.2) [HSA:6833 3767] [KO:K05032 K05004]
D00272	SLC12A3 (TSC) [HSA:6559] [KO:K14426]
	SLC12A1 (NKCC2) [HSA:6557] [KO:K14425]
D00273	HCMV DNA polymerase [KO:K18964]
D00274	HTR4 [HSA:3360] [KO:K04160]
	HTR3A [HSA:3359] [KO:K04819]
	HTR2A [HSA:3356] [KO:K04157]
D00275	DNA
D00276	50S ribosomal subunit
D00277	50S ribosomal subunit
D00279	NR1C1 (PPARA) [HSA:5465] [KO:K07294]
D00280	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00281	ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]
D00282	sterol 14alpha-demethylase [KO:K05917]
D00283	HTR2A [HSA:3356] [KO:K04157]
	HTR2C [HSA:3358] [KO:K04157]
	HTR3 [HSA:3359 9177 170572 200909 285242] [KO:K04819]
	ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]
	DRD4 [HSA:1815] [KO:K04147]
D00284	MC2R [HSA:4158] [KO:K04200]
D00287	DNA
D00288	DNA
	RNA
D00289	NR3C4 (AR) [HSA:367] [KO:K08557]
	NR3C3 (PGR) [HSA:5241] [KO:K08556]
	NR3A1 (ESR1) [HSA:2099] [KO:K08550]
D00290	30S ribosomal subunit
D00291	AVPR2 [HSA:554] [KO:K04228]
	F8 [HSA:2157] [KO:K03899]
D00292	NR3C1 (GR) [HSA:2908] [KO:K05771]
D00293	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00294	ABCC8(SUR1)/KCNJ11(KIR6.2) [HSA:6833 3767] [KO:K05032 K05004]
D00295	HRH2 [HSA:3274] [KO:K04150]
D00296	HIV-1 reverse transcriptase [KO:K24802]
D00297	ATP1A [HSA:476 477 478 480] [KO:K01539]
D00298	ATP1A [HSA:476 477 478 480] [KO:K01539]
D00299	NR1I1 (VDR) [HSA:7421] [KO:K08539]
D00300	HRH1 [HSA:3269] [KO:K04149]
D00302	PDE5 [HSA:8654] [KO:K13762]
	PDE4A [HSA:5141] [KO:K13293]
D00303	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D00304	ABAT [HSA:18] [KO:K13524]
	SSADH [HSA:7915] [KO:K00139]
	GAD [HSA:2571 2572] [KO:K01580]
	CACNA1-T [HSA:8911 8912 8913] [KO:K04856 K04855 K04854]
D00306	CNR [HSA:1268 1269] [KO:K04277 K04278]
D00307	30S ribosomal subunit
D00308	ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]
	DRD2 [HSA:1813] [KO:K04145]
D00310	DNA gyrase [KO:K02469 K02470]
D00311	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00312	NR3A (ESR) [HSA:2099 2100] [KO:K08550 K08551]
D00313	SLC12A1 (NKCC2) [HSA:6557] [KO:K14425]
	SLC12A2 (NKCC1) [HSA:6558] [KO:K10951]
D00315	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D00316	NR1B (RAR) [HSA:5914 5915 5916] [KO:K08527 K08528 K08529]
	NR2B (RXR) [HSA:6256 6257 6258] [KO:K08524 K08525 K08526]
D00317	Herpesvirus DNA polymerase [KO:K18964]
D00318	HRH2 [HSA:3274] [KO:K04150]
D00319	CACNA1-L [HSA:775 776 778 779] [KO:K04850 K04851 K04853 K04857]
D00320	OPRM1 [HSA:4988] [KO:K04215]
D00321	SRD5A2 [HSA:6716] [KO:K12344]
D00322	sterol 14alpha-demethylase [KO:K05917]
D00323	TYMS [KO:K00560]
D00324	NR3C1 (GR) [HSA:2908] [KO:K05771]
D00325	NR3C1 (GR) [HSA:2908] [KO:K05771]
D00326	SLC6A4 (HTT) [HSA:6532] [KO:K05037]
D00327	NR3C4 (AR) [HSA:367] [KO:K08557]
D00328	NR3C1 (GR) [HSA:2908] [KO:K05771]
D00329	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00330	PTGS1 (COX1) [HSA:5742] [KO:K00509]
	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D00331	SLC12A1 (NKCC2) [HSA:6557] [KO:K14425]
	SLC12A2 (NKCC1) [HSA:6558] [KO:K10951]
D00332	CACNA2D [HSA:781 9254 55799 93589] [KO:K04858 K04859 K04860 K04861]
	SLC6A1 (GAT1) [HSA:6529] [KO:K05034]
D00333	HCMV DNA polymerase [KO:K18964]
	Herpesvirus DNA polymerase [KO:K18964]
D00334	NR1C1 (PPARA) [HSA:5465] [KO:K07294]
D00335	ABCC8 (SUR1) [HSA:6833] [KO:K05032]
D00336	ABCC8(SUR1)/KCNJ11(KIR6.2) [HSA:6833 3767] [KO:K05032 K05004]
D00338	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00340	SLC12A3 (TSC) [HSA:6559] [KO:K14426]
D00341	RRM2 [HSA:6241] [KO:K10808]
D00342	Herpesvirus DNA polymerase [KO:K18964]
D00343	DNA
D00344	penicillin binding protein
D00345	SLC12A3 (TSC) [HSA:6559] [KO:K14426]
D00346	enoyl-[acyl-carrier-protein] reductase (NADH) [KO:K11611]
D00348	NR1B (RAR) [HSA:5914 5915 5916] [KO:K08527 K08528 K08529]
D00349	CACNA1-L [HSA:775 776 778 779] [KO:K04850 K04851 K04853 K04857]
D00350	sterol 14alpha-demethylase [KO:K05917]
D00351	sterol 14alpha-demethylase [KO:K05917]
D00353	HBV reverse transcriptase [KO:K21037]
	HIV-1 reverse transcriptase [KO:K24802]
D00354	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D00355	ATP4 [HSA:495 496] [KO:K01542 K01543]
D00356	PTGFR [HSA:5737] [KO:K04262]
D00357	AGTR1 [HSA:185] [KO:K04166]
D00358	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D00359	HMGCR [HSA:3156] [KO:K00021]
D00362	ACE (CD143) [HSA:1636] [KO:K01283]
D00363	DNA
D00364	HRH1 [HSA:3269] [KO:K04149]
D00365	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00366	AVPR1 [HSA:552 553] [KO:K04226 K04227]
	AVPR2 [HSA:554] [KO:K04228]
D00367	SLC6A2 (NAT1) [HSA:6530] [KO:K05035]
	SLC6A3 (DAT1) [HSA:6531] [KO:K05036]
	SLC6A4 (HTT) [HSA:6532] [KO:K05037]
D00368	tubulin alpha [KO:K07374]
	tubulin beta [KO:K07375]
D00369	DNA
D00370	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00371	ADORA1 [HSA:134] [KO:K04265]
	ADORA2B [HSA:136] [KO:K04267]
	PDE [HSA:10846 27115 50940 5136 5137 5138 5139 5140 5141 5142 5143 5144 5150 5151 5153 8622] [KO:K18438 K18436 K13298 K13755 K18283 K19021 K13296 K13293 K18437]
D00373	DRD2 [HSA:1813] [KO:K04145]
D00374	DRD2 [HSA:1813] [KO:K04145]
	DRD3 [HSA:1814] [KO:K04146]
D00375	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D00376	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00378	ADRB1 [HSA:153] [KO:K04141]
	ADRB2 [HSA:154] [KO:K04142]
D00379	ABCC8(SUR1)/KCNJ11(KIR6.2) [HSA:6833 3767] [KO:K05032 K05004]
D00380	ABCC8(SUR1)/KCNJ11(KIR6.2) [HSA:6833 3767] [KO:K05032 K05004]
D00381	squalene epoxidase [KO:K00511]
D00382	SLC12A1 (NKCC2) [HSA:6557] [KO:K14425]
	SLC12A2 (NKCC1) [HSA:6558] [KO:K10951]
D00383	ACE (CD143) [HSA:1636] [KO:K01283]
D00385	NR3C1 (GR) [HSA:2908] [KO:K05771]
D00386	SCNN1 [HSA:6337 6338 6340] [KO:K04824 K04825 K04827]
	NR3C2 (MR) [HSA:4306] [KO:K08555]
D00387	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00389	NR3C4 (AR) [HSA:367] [KO:K08557]
D00390	DRD2 [HSA:1813] [KO:K04145]
D00391	TYMS [KO:K00560]
D00394	SLC6A2 (NAT1) [HSA:6530] [KO:K05035]
	SLC6A4 (HTT) [HSA:6532] [KO:K05037]
D00395	NR1C3 (PPARG) [HSA:5468] [KO:K08530]
D00397	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D00398	Herpesvirus DNA polymerase [KO:K18964]
D00399	ABAT [HSA:18] [KO:K13524]
	SSADH [HSA:7915] [KO:K00139]
	GAD [HSA:2571 2572] [KO:K01580]
	CACNA1-T [HSA:8911 8912 8913] [KO:K04856 K04855 K04854]
D00400	AGTR1 [HSA:185] [KO:K04166]
D00401	TPO [HSA:7173] [KO:K00431]
D00403	DRD2 [HSA:1813] [KO:K04145]
D00404	CACNA1-T [HSA:8911 8912 8913] [KO:K04856 K04855 K04854]
D00405	ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]
D00406	Herpesvirus DNA polymerase [KO:K18964]
D00407	NR3C1 (GR) [HSA:2908] [KO:K05771]
D00408	NR3C4 (AR) [HSA:367] [KO:K08557]
D00409	DNA
D00410	CYP11B1 [HSA:1584] [KO:K00497]
D00411	CYSLTR1 [HSA:10800] [KO:K04322]
D00412	HIV-1 reverse transcriptase [KO:K24802]
D00413	HIV-1 reverse transcriptase [KO:K24802]
D00414	ALOX5 [HSA:240] [KO:K00461]
D00415	HTR1B [HSA:3351] [KO:K04153]
	HTR1D [HSA:3352] [KO:K04153]
D00416	sterol 14alpha-demethylase [KO:K05917]
D00417	PDE3 [HSA:5139 5140] [KO:K19021 K13296]
D00418	ABCC8(SUR1)/KCNJ11(KIR6.2) [HSA:6833 3767] [KO:K05032 K05004]
D00419	PTGER2 [HSA:5732] [KO:K04259]
	PTGER3 [HSA:5733] [KO:K04260]
	PTGER4 [HSA:5734] [KO:K04261]
D00420	CYP17A1 [HSA:1586] [KO:K00512]
D00421	ACE (CD143) [HSA:1636] [KO:K01283]
D00422	HRH2 [HSA:3274] [KO:K04150]
D00423	HCV NS5B polymerase [KO:K22472]
D00424	DNA-directed RNA polymerase [KO:K03040 K03043 K03046]
D00425	PTGS2 (COX2) [HSA:5743] [KO:K11987]
	PTGS1 (COX1) [HSA:5742] [KO:K00509]
D00426	DRD2 [HSA:1813] [KO:K04145]
	HTR2A [HSA:3356] [KO:K04157]
D00427	HIV protease [KO:K22599]
D00428	PTGS1 (COX1) [HSA:5742] [KO:K00509]
	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D00429	HIV protease [KO:K22599]
D00430	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00431	SLC12A3 (TSC) [HSA:6559] [KO:K14426]
D00432	ADRB1 [HSA:153] [KO:K04141]
	ADRB2 [HSA:154] [KO:K04142]
D00433	dihydropteroate synthase [KO:K00796]
D00434	HMGCR [HSA:3156] [KO:K00021]
D00435	HIV-1 reverse transcriptase [KO:K24802]
D00437	CACNA1-L [HSA:775 776 778 779] [KO:K04850 K04851 K04853 K04857]
D00438	CACNA1-L [HSA:775 776 778 779] [KO:K04850 K04851 K04853 K04857]
D00440	HRH2 [HSA:3274] [KO:K04150]
D00442	SSTR2 [HSA:6752] [KO:K04218]
D00443	NR3C2 (MR) [HSA:4306] [KO:K08555]
D00444	NR3C4 (AR) [HSA:367] [KO:K08557]
D00445	HIV-1 reverse transcriptase [KO:K24802]
D00447	dihydropteroate synthase [KO:K00796]
D00450	dihydropteroate synthase [KO:K00796]
D00451	HTR1B [HSA:3351] [KO:K04153]
	HTR1D [HSA:3352] [KO:K04153]
D00453	DNA gyrase [KO:K02469 K02470]
	topoisomerase IV [KO:K02621 K02622]
D00454	HTR2 [HSA:3356 3357 3358] [KO:K04157]
	HTR6 [HSA:3362] [KO:K04162]
	HRH1 [HSA:3269] [KO:K04149]
	ADRA1 [HSA:148 147 146] [KO:K04135 K04136 K04137]
	DRD2 [HSA:1813] [KO:K04145]
	DRD3 [HSA:1814] [KO:K04146]
	DRD4 [HSA:1815] [KO:K04147]
D00455	ATP4 [HSA:495 496] [KO:K01542 K01543]
D00456	HTR3 [HSA:3359 9177 170572 200909 285242] [KO:K04819]
D00457	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00458	HTR2A [HSA:3356] [KO:K04157]
	DRD2 [HSA:1813] [KO:K04145]
D00459	ACE (CD143) [HSA:1636] [KO:K01283]
D00461	SLC12A3 (TSC) [HSA:6559] [KO:K14426]
	SLC12A1 (NKCC2) [HSA:6557] [KO:K14425]
D00462	NR3C4 (AR) [HSA:367] [KO:K08557]
D00463	PTGS1 (COX1) [HSA:5742] [KO:K00509]
	PTGS2 (COX2) [HSA:5743] [KO:K11987]
D00464	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00465	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D00466	penicillin binding protein
D00467	DNA
D00468	DNA
D00469	ACHE [HSA:43] [KO:K01049]
D00470	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D00472	NR3C1 (GR) [HSA:2908] [KO:K05771]
D00473	NR3C1 (GR) [HSA:2908] [KO:K05771]
D00477	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
